359 428 535 1617 2848
earlier 34 36 51 83 97
disclosure 0 1 4 13 1
takeover 2 0 0 174 22
attempts. 0 0 0 1 0
N.J. 0 0 0 7 4
Mathew 0 0 0 1 0
Rinaldo, 0 0 0 1 0
senior 13 11 44 44 12
Republican, 0 0 0 2 0
introducing 0 1 2 1 0
legislation 6 13 4 2 2
create 5 1 6 18 7
member 29 15 14 15 6
commission 4 13 1 10 11
study 35 30 5 14 3
industry 99 32 5 48 42
for 658 912 717 2071 1668
year 134 165 109 135 1003
report 72 63 39 38 112
its 447 141 367 1885 1281
findings 0 4 0 2 1
recommendations 4 0 1 2 3
Congress. 1 2 2 1 0
members 40 21 15 45 2
would 321 313 362 784 294
be 338 462 418 1077 606
appointed 4 1 1 13 1
SEC. 0 0 0 3 0
"Its 0 0 0 1 0
primary 7 0 5 5 44
mission 1 0 1 1 0
analyze 0 0 0 2 0
extent 5 4 4 7 4
illegal 3 1 1 3 1
assess 1 5 2 3 1
adequacy 0 0 0 2 3
existing 16 6 3 35 23
surveillance 0 0 0 2 0
systems 1 1 1 43 11
government 108 104 122 97 22
oversight 0 0 0 1 0
operations. 8 4 5 30 79
The 516 697 902 1532 953
advise 0 0 0 12 0
Congress 14 18 16 4 2
what 32 26 53 43 11
additional 14 36 5 78 59
resources 5 4 1 17 8
civil 0 5 2 3 4
criminal 0 0 0 1 5
remedies 0 0 0 2 0
combat 5 2 1 1 0
fraud 0 0 1 1 1
improve 4 10 8 17 29
compliance 0 1 0 2 1
federal 20 18 12 55 13
laws," 0 0 0 1 0
Rinaldo 0 0 0 1 0
BEI 0 0 0 2 1
&lt;BEIH> 0 0 0 1 1
ACQUIRES 1 0 0 48 0
IVEY-ROWTON 0 0 0 1 0
AND 10 7 6 72 115
ASSOCIATES 0 0 0 3 7
Holdings 0 0 0 90 22
Ltd 20 2 5 170 98
acquired 5 0 0 217 42
Ivey-Rowton 0 0 0 1 0
Associates, 3 1 0 5 0
Nashville, 0 0 0 1 0
Tenn.-based 0 0 0 1 0
bank 16 1 374 125 138
marketing 12 40 0 22 21
firm. 3 1 0 33 2
Terms 0 0 0 85 2
disclosed. 0 0 0 96 3
HRS 0 2 0 1 0
&lt;IHIRF> 0 0 0 1 0
REDUCING 0 0 0 1 0
STAKE 0 0 0 175 2
IN 64 58 49 191 99
HAL 0 0 0 1 0
ROACH 0 0 0 1 0
&lt;HRSI> 0 0 0 1 0
International 17 22 49 183 67
H.R.S. 0 0 0 7 0
Industries 5 4 0 127 43
Inc 33 11 8 827 288
reduce 13 26 37 40 41
stake 4 0 0 378 40
Hal 0 0 0 2 1
Roach 0 0 2 9 0
Studios 0 0 0 1 0
22 12 10 26 18 130
52 3 1 1 25 50
return 15 6 17 14 54
6.3 0 0 2 9 7
mln 601 697 444 1438 7294
U.S. 284 638 539 385 196
dlrs 301 185 155 1225 3118
Qintex 0 0 0 13 0
Inc's 3 0 0 43 8
America 4 3 0 44 15
(Media) 0 0 0 1 0
unit. 0 0 0 28 23
under 52 125 37 187 72
deal's 0 0 0 4 0
first 69 44 68 74 360
stage, 1 2 0 1 0
closng 0 0 0 2 0
March 80 78 100 238 525
22, 1 0 12 3 6
sell 19 16 23 250 26
900,000 2 6 0 5 10
shares 13 2 3 957 316
seven 10 34 12 40 169
share 25 16 5 495 732
each 16 19 17 141 46
total 60 106 63 197 132
will 374 316 346 1011 801
repay 2 1 1 13 3
3.3 4 2 0 10 13
advances. 0 0 1 1 1
also 159 123 200 486 340
complete 2 6 2 47 10
16.8 0 1 0 4 10
buy 15 38 29 309 29
2.4 7 9 0 5 22
treasury 1 1 61 7 2
provide 13 18 11 73 17
50 66 26 18 110 125
financing 2 1 13 67 17
expansion, 0 0 1 2 1
agreement 31 41 101 314 39
provided 4 9 54 26 11
second 32 11 17 43 117
stage 4 5 7 3 5
one 132 104 167 305 399
which 198 171 229 675 378
had 184 118 329 542 295
put 19 31 31 27 16
option 8 16 8 58 9
exercisable 0 0 1 13 2
closing 2 0 5 50 22
all 61 53 45 289 86
part 27 24 26 144 40
two 95 123 149 286 353
8.50 1 0 0 7 0
share. 2 0 0 170 167
It 100 70 85 428 284
30-day 0 0 1 3 0
call 3 5 36 12 4
option, 1 1 5 6 0
exerciseable 0 0 0 3 0
nine 8 17 16 50 262
months 36 28 29 41 161
closing, 1 0 0 5 0
greater 8 12 28 14 15
average 50 28 31 27 35
price 153 103 42 207 60
three 66 64 68 125 276
before 43 22 81 87 88
exercise 2 0 0 22 12
date. 3 1 3 8 7
acquire 5 0 1 318 8
another 9 24 31 93 29
12 15 15 11 43 280
after 127 31 147 158 266
dlrs, 50 36 20 153 579
U.S 4 7 5 1 0
TREASURY'S 3 0 21 0 0
MULFORD 0 0 9 0 0
REAFFIRMS 1 0 3 2 0
G-6 0 0 28 0 0
AGREEMENT 1 0 3 22 1
Treasury 7 3 96 5 0
Assistant 2 2 5 0 1
Secretary 28 37 53 25 0
David 2 4 8 21 12
Mulford 0 0 17 0 0
reaffirmed 2 0 2 3 2
backing 0 2 2 2 1
Paris 1 4 195 5 1
Agreement 2 8 4 0 0
among 17 12 38 35 9
six 31 22 103 73 281
industrial 8 6 79 53 25
nations 7 5 139 0 4
cooperate 3 0 39 6 0
closely 1 6 19 8 1
foster 1 0 29 0 0
exchange 16 21 423 84 46
rate 35 17 335 14 94
stability 8 2 53 2 6
around 57 43 229 46 47
levels. 7 6 33 0 11
In 73 77 95 236 201
testimony 3 1 5 1 1
prepared 11 2 13 18 8
delivery 4 35 6 17 6
Senate 3 32 12 7 0
banking 0 0 47 51 45
subcommittee, 0 2 2 0 0
there 69 62 105 72 42
broad 3 3 11 1 2
recognition 1 4 3 1 2
"further 0 0 2 0 0
substantial 3 6 20 16 28
shifts 0 1 7 0 0
could 92 111 136 193 67
damage 18 22 10 3 0
growth 15 11 96 23 124
adjustment 1 4 14 1 11
prospects." 0 0 2 0 0
But 74 48 177 70 68
while 70 53 78 63 80
clear 6 5 24 12 4
understandings 0 0 1 0 1
countries 49 47 80 6 9
regarding 1 3 7 9 2
cooperation, 0 0 4 1 0
"We 54 36 44 60 41
refrained 0 0 1 0 0
establishing 0 0 3 1 0
system 10 16 96 23 13
target 7 30 73 13 10
zones 1 0 6 0 0
ranges." 0 0 1 0 0
spelled 0 0 1 0 0
out 50 46 79 66 29
way 21 18 26 23 2
intend 4 4 5 18 1
deal 8 8 3 108 11
possible 17 18 16 77 32
market 83 116 474 149 108
developments. 2 0 4 1 2
He 148 59 183 166 167
governments 2 7 11 4 2
must 19 40 39 25 7
retain 3 1 2 18 10
flexibility 1 0 3 2 8
dealing 1 6 11 3 2
pressures 2 1 10 2 1
efforts 8 6 14 18 13
establish 1 3 8 11 3
rigid 0 0 1 1 0
objectives 0 0 3 0 2
"or 0 0 1 0 0
specify 0 0 2 12 1
too 6 24 22 19 7
precisely 0 1 2 0 0
goals 1 1 3 0 1
intervention" 0 0 2 0 0
hurt 6 6 4 3 11
official 95 107 116 37 12
attempts 4 0 3 8 1
react 1 0 4 2 1
pressures, 1 0 3 0 0
Accordingly, 0 0 1 1 2
setting 0 5 7 1 3
specific 5 6 14 8 22
currency 3 15 282 5 25
intervention 1 29 109 1 0
achieve 4 3 14 3 8
counterproductive. 0 0 1 0 0
Commenting 4 0 5 0 7
trade 40 118 211 23 17
deficit, 1 0 14 1 0
reiterated 7 0 3 9 5
position 12 10 12 39 18
account 5 9 46 10 28
deficit 10 4 81 5 7
decline 34 15 35 6 51
148 0 1 12 0 2
billion 157 77 397 209 984
last 251 212 227 225 316
130 1 0 1 7 5
this 172 252 291 194 243
year, 38 59 27 55 177
due 42 45 56 68 150
adjustments 1 5 5 2 7
18 80 9 12 24 119
months. 10 4 14 14 22
added 29 23 35 57 47
imbalances 0 0 8 0 0
corrected 0 0 3 1 1
commitments 1 13 6 9 0
West 37 19 144 59 34
Germany 0 7 72 8 3
Japan 14 25 229 36 7
stimulate 4 1 24 0 1
their 83 88 184 197 51
economies 2 0 12 3 3
cut 45 38 101 23 44
budget 32 19 53 4 7
enhance 3 1 3 8 3
competitiveness. 2 0 1 0 0
some 87 88 143 125 78
newly 1 0 5 36 5
industrialized 2 0 16 0 0
should 55 56 75 64 98
let 5 2 8 3 2
currencies 1 2 107 0 5
appreciate. 0 0 1 0 0
HUMANA 0 0 0 1 4
INC 1 0 0 53 785
2ND 0 0 0 0 145
QTR 4 0 0 1 1202
SHR 0 0 0 0 117
44 2 0 1 10 45
CTS 8 0 0 14 216
VS 0 4 0 0 145
54 1 0 1 15 28
BAYERNVEREIN 0 0 0 0 1
EXPECTS 0 1 2 2 39
UNCHANGED 1 3 11 0 5
DIVIDEND 0 0 0 0 255
FOR 32 78 18 200 49
1987 43 90 28 32 382
Bayerische 0 0 0 0 1
Vereinsbank 0 0 0 0 1
AG 1 0 4 34 60
&lt;BVMG.F> 0 0 0 0 1
expects 11 7 21 78 263
pay 28 8 11 71 98
an 285 251 283 850 406
unchanged 10 15 20 5 26
dividend 0 0 0 18 496
13 7 16 6 40 151
marks 0 0 82 7 170
earnings 12 1 1 54 538
barely 1 2 4 0 2
reach 5 19 3 10 13
year's 23 43 5 6 67
record 6 46 51 23 317
levels, 8 8 10 2 6
management 3 6 11 167 49
board 4 19 11 278 184
spokesman 65 41 45 196 49
Maximilian 0 0 0 0 1
Hackl 0 0 0 0 4
told 95 75 136 186 117
annual 35 25 17 81 135
news 36 9 20 25 34
conference 28 8 22 16 27
credit 17 20 42 46 117
risks, 0 0 1 0 1
especially 0 6 21 5 10
associated 4 1 3 11 34
foreign 86 16 258 81 66
nations, 1 2 8 0 1
largely 13 2 18 7 22
covered. 1 0 0 0 1
Risk 0 0 0 0 1
provisions 2 8 3 9 44
therefore 2 5 3 5 7
unlikely 2 9 25 9 8
same 22 44 36 35 83
level 31 27 56 14 55
1986. 23 14 18 58 188
Group 6 0 33 216 86
net 23 10 14 77 1307
profit 6 2 3 36 2011
rose 66 23 55 29 198
275.52 0 0 0 0 1
1986 75 48 25 111 1069
222.73 0 0 0 0 1
previous 36 56 34 21 83
parent 1 0 0 26 51
187.63 0 0 0 0 1
161.58 0 0 0 0 1
mln. 8 14 18 6 159
interest 35 13 170 180 147
margins 2 2 1 0 23
business 8 16 35 153 126
declined 20 14 48 77 47
2.71 0 2 0 0 6
2.78 1 1 0 0 5
year. 49 53 51 52 307
mortgage 0 0 2 11 15
sector, 3 1 6 3 11
slightly 16 8 14 6 25
stood 1 3 16 1 13
0.7 0 0 1 1 3
pct. 25 13 117 115 67
Parent 0 0 0 1 38
surplus 9 18 47 0 19
risen 4 5 13 0 7
almost 4 13 18 9 18
15 23 33 42 70 351
358 0 0 0 0 2
Expenses 0 0 0 0 2
personnel 2 1 0 4 6
7.5 7 5 4 8 18
782 0 0 0 1 1
costs 13 19 6 15 137
9.4 1 0 0 5 9
272 0 0 0 1 1
marks. 0 0 14 1 28
bank's 1 0 28 12 46
partial 0 2 0 8 13
operating 22 5 3 58 213
profit, 0 0 0 1 22
excludes 0 1 0 0 239
own 11 7 28 84 20
account, 0 0 5 0 3
climbed 2 0 1 8 5
671 0 0 0 0 1
balance 11 12 22 30 49
sheet 0 0 4 7 31
5.3 1 0 12 4 10
81.5 0 0 0 0 4
end-1986 1 0 0 1 6
end-1985, 0 0 0 1 1
boosted 5 3 6 2 10
mark 1 3 43 1 18
rise 56 21 117 10 104
1.1 6 4 4 5 43
increase 70 39 38 74 205
business. 1 0 3 45 26
sector's 0 0 0 0 2
volume 6 19 12 6 28
46 1 1 1 14 44
45. 0 0 0 0 1
January 41 29 50 33 122
February 79 38 90 47 85
livened 0 0 0 0 1
up. 0 5 0 2 1
despite 12 9 21 8 28
sharp 17 11 35 0 27
downturn 4 0 3 1 6
German 2 7 68 23 18
bourses, 0 0 0 0 1
year-ago 15 3 1 1 45
period. 7 5 3 9 23
gave 18 17 17 29 14
no 85 76 91 207 73
detailed 3 3 3 3 2
figures. 4 18 3 1 11
FED 0 0 87 5 0
BUYING 0 4 7 6 0
ONE 19 1 11 0 20
BILLION 0 3 36 5 11
DLRS 13 5 19 66 104
OF 14 31 79 200 83
BILLS 0 0 9 0 0
CUSTOMER 0 0 37 0 0
ACCOUNT, 0 0 2 0 0
SAYS 63 19 117 103 44
TEXAS 4 3 0 8 8
PETROLEUM 2 0 0 5 25
OIL 171 1 0 10 27
GAS 15 0 0 8 21
PROPERTIES 1 0 0 4 15
Texas 51 11 0 31 30
Petroleum 114 0 0 39 19
Corp 75 12 2 671 257
issued 15 17 12 84 24
14.4 1 1 0 0 12
restricted 3 1 2 19 1
common 5 5 13 457 200
stock 19 9 39 492 466
oil 1064 24 18 57 119
gas 168 0 1 64 76
properties 9 0 0 25 38
joint 7 6 17 54 23
ventures 4 0 0 4 2
located 3 0 2 13 2
overseas. 1 0 0 0 3
&lt;North 1 0 0 1 0
American 33 17 15 269 89
Oil 102 3 0 40 15
Gas 11 0 0 36 21
Corp> 8 0 1 69 14
Canada, 5 6 31 10 14
company 134 10 5 1044 910
acquisitions 4 0 0 42 33
step 6 8 7 17 2
toward 2 3 9 10 4
creating 1 4 7 3 1
exploration 90 0 0 11 10
development 45 8 11 25 42
enterprise. 1 0 0 1 0
DATAMAG 0 0 0 0 1
&lt;DMAG> 0 0 0 0 1
1ST 0 0 0 3 222
DEC 0 0 0 0 83
31 7 8 10 26 646
LOSS 0 0 2 0 467
Net 3 1 2 2 2047
loss 10 7 4 44 3348
92,623 0 0 0 0 1
vs 0 26 0 0 9045
11,209 0 0 0 0 1
Sales 0 9 0 5 546
93,483 0 0 0 0 1
189,388 0 0 0 0 1
Note: 0 0 0 0 221
per 131 140 26 272 556
data 11 2 17 25 40
available, 4 0 0 1 1
went 6 3 2 3 22
public 12 10 22 62 51
January, 14 7 13 6 6
1987. 12 13 5 31 100
CENTRAL 0 0 15 3 11
PENNSYLVANIA 0 0 0 2 1
&lt;CPSA> 0 0 0 1 0
BUYS 0 9 15 106 0
FIRM 5 1 2 51 0
Central 3 3 50 16 10
Pennsylvania 1 0 0 7 0
Savings 0 0 1 91 27
Association 13 25 8 44 9
30 32 19 30 91 233
investment 17 9 25 260 121
&lt;Pinnacle 0 0 0 1 0
Mortgage 0 0 0 5 12
Investment 3 2 2 20 34
Co>. 0 0 0 7 0
Pinnacle, 0 0 0 1 0
incorporated 0 0 3 1 1
1985, 18 13 16 18 88
generates 0 0 0 2 0
60 20 8 3 37 70
closed 21 1 23 46 11
loans 7 8 20 19 73
annually. 1 0 0 1 2
directors 0 5 1 104 27
recently 10 18 19 38 18
approved 9 26 5 100 52
letter 6 13 1 137 5
intent 0 0 1 83 1
Hamilton-Reliance 0 0 0 1 0
Norristown, 0 0 0 1 0
Pa. 0 0 0 3 0
J.C. 1 0 0 2 4
PENNEY 0 0 0 1 4
DECLARES 0 0 0 1 37
TWO 3 0 9 18 31
SPLIT, 0 0 0 0 29
RAISES 34 2 1 18 64
QUARTERLY 0 0 0 0 147
WOOLWORTH 0 0 0 2 5
HOLDINGS 0 2 1 17 16
PLC 3 0 0 24 34
&lt;WLUK.L> 0 0 0 2 2
YR 0 0 0 0 14
TO 109 131 109 588 162
END-JANUARY 0 0 0 0 1
Shr 0 0 0 0 1942
47.1p 0 0 0 0 1
37.7 0 0 0 0 11
fully 5 2 10 51 17
diluted 0 0 0 27 87
42.2p 0 0 0 0 1
33.6 0 0 0 0 3
Div 0 0 0 0 48
11p 0 0 0 0 1
7 1 4 3 6 15
making 6 23 20 53 74
16 12 9 17 27 145
Turnover 0 0 0 0 67
1.83 0 0 2 0 7
stg 12 18 315 43 172
1.76 1 0 0 0 10
Pretax 0 0 0 0 36
115.3 0 0 0 1 6
81.3 0 0 0 1 5
Tax 5 0 0 1 40
30.5 0 0 0 2 4
16.2 0 1 0 6 11
Retail 0 0 0 6 2
- 33 97 101 33 142
B 1 0 0 44 33
Q 0 0 0 0 2
45.5 0 0 0 0 5
33.1 0 0 0 0 3
Comet 0 0 0 1 2
17.4 1 1 0 1 10
11.9 0 0 1 0 13
Woolworth 0 0 0 17 14
38.7 0 0 1 0 5
17.6 0 0 1 4 17
Other 6 8 6 10 25
4.6 3 0 1 0 9
600,000 0 3 0 7 13
Property 0 0 0 1 3
income 7 13 9 27 264
49.4 0 0 0 2 4
48.0 0 1 0 0 2
payable 0 0 1 17 194
31.1 0 0 0 0 8
28.7 0 0 0 0 11
Extraordinary 0 0 0 0 32
debit 0 0 0 0 32
16.0 1 1 0 0 10
29.1 0 0 0 0 12
FIRST 4 2 1 32 71
WOMEN'S 0 0 0 1 0
BANK 6 0 71 34 56
INVESTOR 0 0 0 26 0
GROUP 2 2 0 100 85
OFFER 1 10 0 107 1
EXPIRES 0 0 0 2 0
investor 2 0 4 94 5
group 26 5 9 352 165
owning 2 0 0 10 1
42 1 1 2 15 58
outstanding 2 2 7 180 60
capital 14 6 59 87 131
&lt;The 0 0 0 7 0
First 1 1 5 147 60
Women's 0 0 0 1 0
Bank> 0 0 5 7 6
cash 21 40 19 253 136
remaining 8 7 2 53 20
11 5 10 13 36 162
expired 0 0 0 18 0
three. 0 0 1 6 3
132,000 0 1 0 2 3
shares, 1 1 1 206 27
20 33 51 18 144 276
outstanding, 0 0 0 35 7
tendered. 0 0 0 11 0
SENATE 1 5 0 0 0
PANEL 0 4 3 0 0
MAKES 1 1 0 28 2
CONSERVATION 0 7 0 0 0
EXEMPTION 0 2 0 0 0
Agriculture 1 216 0 0 0
Committee 7 23 33 3 0
measure 4 12 17 2 1
exempt 4 2 1 2 0
farmers 5 135 0 0 0
planted 0 46 0 0 0
alfalfa 0 4 0 0 0
other 79 78 126 295 143
multiyear 0 4 0 0 0
grasses 0 4 0 0 0
legumes 0 4 0 0 0
between 48 122 104 122 55
1981 2 5 1 1 5
1985 11 33 18 14 296
conservation 1 25 0 0 0
requirement. 0 1 4 1 0
Sen. 2 16 0 0 0
Zorinsky, 0 1 0 0 0
D-Neb., 0 1 0 0 0
bill 4 68 48 10 2
restore 3 3 2 2 0
equity 8 1 6 58 54
sodbuster 0 1 0 0 0
rules, 0 2 0 3 2
currently 21 15 11 70 34
deny 1 1 3 1 1
farm 2 117 0 6 1
program 18 101 8 21 20
benefits 9 7 4 15 12
who, 0 1 0 1 0
without 11 13 16 36 27
interrupting 0 1 0 0 0
plantings 0 17 0 0 0
row 6 4 0 3 0
crop. 0 6 0 0 0
An 11 29 8 36 8
leading 9 8 42 21 11
group, 4 3 0 47 11
asked 22 28 30 51 15
identified, 3 5 2 2 2
panel's 0 1 0 0 0
move 24 11 40 58 11
"an 1 1 1 1 0
unfortunate 0 1 0 0 0
action" 0 1 0 0 0
because 82 84 89 104 98
lead 8 7 10 13 13
exemption 0 6 0 0 0
potentially 3 3 2 2 0
millions 0 3 1 2 1
acres 4 73 0 8 0
sod 0 1 0 0 0
buster 0 1 0 0 0
regulations, 0 2 0 0 0
established 1 4 10 9 4
bill. 0 8 0 0 0
GREAT 0 0 0 5 13
WESTERN 0 1 2 15 5
SAVINGS 0 0 0 13 28
&lt;GWSB> 0 0 0 0 1
DIV 0 0 0 0 59
Qtly 0 0 0 0 375
div 0 0 0 0 476
cts 47 19 1 35 5252
Pay 0 0 0 3 393
April 36 78 62 121 750
8 1 2 5 5 10
Record 0 2 0 0 447
1 9 46 5 11 62
ROCKY 0 0 0 0 3
MOUNT 0 0 0 0 2
UNDERGARMENT 0 0 0 0 1
&lt;RMUC> 0 0 0 0 2
4TH 0 0 0 0 648
53 0 0 3 7 48
32 5 1 3 7 59
1,548,000 0 0 0 0 3
929,000 0 0 0 0 3
Revs 0 0 0 0 1544
9,362,000 0 0 0 0 1
11.3 0 0 1 3 23
mths 0 0 0 0 300
82 1 0 1 7 25
17 19 10 9 33 148
2,408,000 0 0 0 0 2
452,000 0 0 0 0 4
40.9 0 0 1 1 6
39.5 0 0 0 0 4
NOTE: 0 0 0 0 605
full 5 11 19 28 126
name 1 1 2 42 107
Rocky 0 0 0 1 3
Mount 0 0 0 2 4
Undergarment 0 0 0 0 2
Co 47 9 16 397 171
Inc. 11 4 9 73 41
WASHINGTON 0 0 0 2 3
FEDERAL 0 0 0 8 26
&lt;WFSL> 0 0 0 0 1
24 16 7 6 29 118
ago 5 23 9 15 24
adjusted 0 3 6 0 80
reflect 5 8 16 7 79
19 5 5 5 19 115
three-for-two 0 0 0 1 54
split. 0 1 0 3 38
(Washington 0 0 0 0 1
Federal 5 3 109 103 30
Loans 0 0 5 0 22
Association) 0 0 0 0 1
RELIABLE 0 0 0 0 2
LIFE 0 0 0 9 8
INSURANCE 0 0 0 6 17
CO 0 0 0 18 230
&lt;RLIFA> 0 0 0 0 2
UPS 0 0 0 21 27
DIVIDENDS 0 0 0 0 11
Class 0 0 0 24 32
A 74 71 69 219 110
27.5 6 0 0 3 6
26.4 1 0 0 1 6
prior 4 7 1 27 492
2.5 7 9 23 13 24
June 14 29 25 29 118
One 7 8 34 21 62
May 5 39 8 41 325
&lt;WESTAR 0 0 0 0 1
MINING 0 0 0 9 9
LTD> 0 0 0 0 74
given 14 13 26 47 42
Oper 0 0 0 0 822
5,900,000 0 0 0 0 1
9,300,000 0 0 0 0 1
105.3 0 0 0 1 3
131.2 0 0 0 0 1
Year 0 0 0 0 526
21.7 0 0 0 1 12
34.7 0 0 0 0 6
370.7 0 0 0 0 1
515.1 0 0 0 0 1
67 0 2 0 6 25
owned 11 1 0 155 51
&lt;British 0 0 0 4 5
Columbia 0 0 0 3 13
Resources 17 0 2 63 26
Note 0 1 0 0 60
continued: 0 0 0 0 4
qtr 0 0 0 0 331
extraordinary 2 0 0 10 218
3.6 10 0 2 5 19
versus 2 14 1 2 39
294.0 0 0 0 0 2
79.1 0 0 0 0 2
221.5 0 0 0 0 1
SCIENCE 0 0 0 0 4
DYNAMICS 0 0 0 3 5
CORP 0 2 0 76 504
&lt;SIDY> 0 0 0 0 1
YEAR 7 3 2 0 425
NET 0 0 1 1 914
704,803 0 0 0 0 1
385,081 0 0 0 0 1
5,669,682 0 0 0 0 1
4,142,095 0 0 0 0 1
FOOTE 0 0 0 5 0
MINERAL 0 0 0 5 1
&lt;FTE> 0 0 0 2 0
MERGE 0 1 0 28 0
INTO 0 1 0 14 0
RIO 0 0 0 4 0
TINTO 0 0 0 2 0
Foote 0 0 0 6 0
Mineral 2 0 0 3 0
signed 19 9 6 108 6
merge 1 1 0 37 3
into 57 52 77 190 76
&lt;Rio 0 0 0 1 0
Tinto-Zinc 0 0 0 2 0
PLC> 1 0 0 16 5
cash. 0 2 0 63 2
time 30 37 60 71 47
acquisition, 0 0 0 22 7
assets 3 0 10 204 73
include 12 20 11 54 149
lithium 0 0 0 1 0
ferrosilicon 0 0 0 1 0
Foote, 0 0 0 2 0
83 0 0 0 25 22
Newmont 0 0 1 8 12
Mining 0 0 1 18 7
&lt;NEM>, 0 0 0 1 0
Cambridge 2 0 0 1 3
operations 19 7 11 80 297
talks 16 15 26 89 10
sale 14 24 5 297 219
manganese 1 0 0 2 0
several 29 21 28 65 25
companies. 9 0 1 35 11
informally 0 1 1 2 0
indicated 8 12 9 18 4
vote 1 7 2 44 9
Rio 5 1 0 4 0
Tinto 0 0 0 2 0
proposal. 1 1 0 17 0
