crude grain money-fx acq earn
six 29 19 75 69 231
their 54 60 112 154 42
IN 64 49 43 171 93
sale 9 19 5 205 180
Avg 0 0 0 0 407
shrs 0 0 0 1 398
1987 28 51 24 27 268
agreed 34 12 66 261 25
made 39 58 50 162 88
agreement 24 21 70 248 33
could 62 63 92 127 51
under 45 90 31 158 65
Pay 0 0 0 2 387
interest 28 13 95 142 106
four 31 36 36 74 207
some 63 61 107 91 59
sales 18 47 21 127 168
if 49 59 88 122 58
against 41 40 123 62 107
board 4 13 9 182 161
price 77 55 27 160 48
Qtly 0 0 0 0 367
into 47 37 58 160 62
tax 36 5 32 19 272
offer 15 36 13 281 18
record 6 25 41 22 267
because 63 63 69 88 78
SETS 1 4 23 31 302
earnings 8 1 1 44 306
30 28 17 25 77 207
Sales 0 8 0 4 340
shareholders 1 1 0 201 149
cash 14 21 12 193 109
increase 51 32 36 69 155
buy 12 28 27 250 23
gain 4 1 5 34 296
investment 15 5 22 193 103
group 21 5 9 217 86
May 5 21 8 31 271
OF 13 28 65 164 65
between 39 68 68 115 45
bank 11 1 186 81 54
operations 13 6 10 64 237
any 45 49 56 130 48
ended 17 19 7 53 232
dividend 0 0 0 15 311
12 11 12 10 43 249
reported 19 28 8 56 214
current 30 46 81 76 87
acquisition 2 1 0 264 49
exchange 11 12 179 75 38
But 57 39 102 64 53
expects 10 6 18 74 206
major 28 46 117 62 60
due 35 39 49 57 132
today 44 30 113 80 42
now 43 40 69 100 54
company's 15 1 0 143 145
1985 11 27 15 14 236
when 54 33 92 79 45
through 42 49 38 109 64
nine 8 13 14 46 215
acquire 5 0 1 281 8
FOR 29 62 15 147 41
may 35 59 39 104 57
28 5 2 4 30 252
shr 0 0 0 0 293
did 58 28 60 93 53
while 60 45 65 58 64
pct. 24 10 94 108 56
around 34 30 156 38 33
year, 30 50 22 50 139
government 62 60 79 69 17
sell 16 14 19 214 24
prices 107 67 19 40 54
rate 24 12 165 14 71
stake 3 0 0 250 32
share. 2 0 0 148 135
announced 20 28 27 150 60
before 39 21 73 73 78
further 24 31 104 81 44
International 14 16 45 156 51
foreign 48 11 126 49 44
Group 6 0 28 177 67
25 24 24 16 61 153
1986. 16 14 18 56 172
financial 10 4 54 108 98
since 40 45 74 63 52
50 44 21 16 89 101
share, 2 1 0 66 202
there 58 47 75 52 36
eight 18 15 26 49 160
both 31 19 31 76 110
- 24 50 64 26 102
earlier 30 36 47 71 81
annual 28 23 16 76 122
mths 0 0 0 0 265
take 31 27 63 101 41
New 21 23 34 143 41
spokesman 38 25 35 124 38
SAYS 51 19 85 70 34
meeting 35 20 63 79 62
February 39 28 66 43 82
should 38 42 54 44 75
purchase 11 16 6 193 27
1986, 24 28 13 42 144
plans 27 14 15 130 64
qtr 0 0 0 0 249
acquired 5 0 0 202 41
months 33 23 26 37 129
end 37 28 38 44 101
business 7 11 29 115 85
DIVIDEND 0 0 0 0 244
Oper 0 0 0 0 243
SEES 14 7 7 11 202
JAN 0 0 0 0 240
compared 27 35 25 20 132
seven 10 27 12 36 154
only 35 43 61 61 37
unit 14 4 4 145 70
Securities 2 1 9 189 35
down 49 43 59 22 62
part 25 21 21 127 40
rose 35 16 41 24 117
subsidiary 12 2 2 162 54
sold 9 19 24 136 44
results 7 4 5 9 206
including 27 22 32 91 58
subject 3 5 11 170 41
make 28 38 36 80 48
previously 9 9 4 126 82
out 39 41 64 59 26
dollar 7 2 180 5 34
CO 0 0 0 13 214
said, 34 39 37 57 58
during 38 50 36 34 65
January 23 19 34 33 114
income 6 8 8 20 181
merger 2 1 0 200 19
bought 6 20 56 125 15
American 30 13 13 107 58
UNIT 10 0 0 197 14
Exchange 5 6 8 177 24
outstanding 1 2 6 154 57
assets 2 0 9 149 59
proposed 15 17 16 141 30
Inc, 9 3 4 167 36
operating 17 5 3 45 148
stg 3 6 105 28 76
trade 24 67 88 21 17
rise 37 15 84 10 71
Ltd 15 2 5 124 70
completed 15 3 2 172 24
Note: 0 0 0 0 215
next 31 44 47 49 44
being 28 36 28 90 32
such 37 27 66 55 29
official 46 61 73 29 4
early 33 25 66 32 57
chairman 11 10 13 111 67
capital 10 3 32 67 100
production 92 53 5 29 33
13 7 16 6 38 144
include 11 18 9 53 120
report 41 36 17 31 84
1ST 0 0 0 3 206
who 26 37 32 90 22
each 15 17 16 118 41
week 39 55 49 49 15
companies 38 9 14 114 31
higher 38 30 25 29 83
tonnes 7 190 0 3 5
lower 25 33 33 17 97
recent 30 26 60 48 40
set 31 30 67 48 28
1985. 16 8 19 12 149
time 28 29 47 61 38
result 18 20 17 65 83
"The 39 31 60 43 29
11 5 10 11 33 143
Department 25 111 8 49 9
statement 32 9 20 94 47
already 27 28 26 100 21
tender 1 30 23 141 6
still 24 40 56 52 29
16 12 9 14 27 138
increased 26 27 14 32 100
18 44 9 11 23 112
payable 0 0 1 16 182
United 49 29 50 45 26
we 37 30 49 46 36
month 28 31 63 33 40
OIL 158 1 0 9 26
17 14 9 7 31 133
PAYOUT 0 0 0 0 194
period 11 32 36 30 85
ON 23 26 24 70 50
owned 9 1 0 139 44
estimated 35 41 35 38 43
well 39 14 29 50 60
West 26 14 83 41 27
continue 21 13 32 78 47
U.K. 8 17 114 31 21
December 28 13 10 39 100
14 5 10 10 28 136
president 27 14 18 78 52
held 14 12 23 109 30
fiscal 7 15 27 18 121
management 3 6 10 123 45
"We 40 27 36 50 33
same 20 34 34 33 65
pay 23 7 7 57 91
extraordinary 1 0 0 9 175
declined 18 12 43 68 43
added. 40 22 33 45 44
his 28 22 37 76 20
AND 8 6 4 55 109
22 10 8 26 18 120
Federal 5 1 77 70 29
MLN 20 11 66 46 39
second 26 10 14 38 93
approval 4 3 4 128 42
company. 3 0 0 154 24
sources 29 65 47 34 5
profits 11 3 9 23 133
cut 37 25 57 22 38
can 31 26 43 53 26
wheat 1 177 1 0 0
Commission 5 30 5 114 24
excludes 0 1 0 0 177
shares, 1 1 1 148 27
pct, 24 11 49 59 35
Agriculture 1 176 0 0 0
Corp, 9 3 0 127 38
trading 12 12 69 44 39
debt 14 2 31 47 82
currency 3 10 138 4 20
previous 21 39 28 19 68
officials 28 44 42 52 9
central 8 7 154 4 2
based 19 15 13 84 44
June 8 27 13 27 99
stock. 2 0 1 132 39
paid 4 24 6 52 88
added 25 22 32 50 44
rates 6 12 130 3 22
approved 9 15 5 94 49
value 11 10 32 68 51
money 2 1 155 10 4
discontinued 0 0 0 6 166
fell 35 17 47 11 61
STAKE 0 0 0 169 1
shares. 2 0 0 133 35
This 9 26 70 26 39
credit 8 10 27 33 91
until 31 25 26 64 22
high 30 30 42 32 33
domestic 48 19 53 11 36
might 20 29 33 68 17
Nine 0 2 0 6 159
growth 10 9 53 17 77
GROUP 2 2 0 78 83
half 25 11 24 21 84
40 19 12 11 42 81
split 1 2 1 5 156
additional 13 30 5 67 49
24 15 7 4 27 111
gas 74 0 1 35 53
full 4 10 14 27 108
close 21 14 38 60 30
analysts 24 15 27 54 43
3RD 0 0 0 0 163
those 22 30 33 45 32
Industries 4 4 0 113 41
much 29 35 47 28 23
most 24 41 35 31 31
banks 11 1 83 44 23
Japan 4 14 114 22 7
do 29 25 45 40 22
making 6 22 19 49 64
revenues 12 1 0 59 88
bid 7 16 11 117 9
level 27 22 47 13 50
help 46 21 62 17 13
crude 137 2 0 4 16
years 22 33 24 38 41
industry 58 21 5 37 37
another 8 20 26 76 28
company, 10 2 1 99 46
off 31 11 21 56 38
costs 11 13 6 15 112
losses 6 9 5 16 121
below 40 25 46 18 28
products 27 19 3 61 47
amount 15 18 31 59 33
several 24 18 28 60 25
declared 3 0 1 7 144
MARKET 3 20 127 3 2
fall 17 29 63 3 43
so 20 30 54 23 27
100 12 8 15 75 44
1987. 12 13 5 28 95
economic 21 13 92 14 13
securities 0 0 57 59 36
terms 11 11 14 99 17
largest 28 11 10 74 29
change 17 16 38 27 53
York 13 3 25 89 21
likely 21 31 41 26 32
does 9 12 36 61 32
name 1 1 2 38 107
control 8 6 9 114 12
They 25 29 48 32 15
number 20 22 7 64 36
BANK 6 0 64 28 50
certain 7 7 8 87 39
FEB 0 0 0 0 146
27 9 4 8 32 93
export 26 91 15 5 8
National 15 26 27 58 19
less 25 30 27 34 28
However, 16 40 21 32 35
grain 0 140 0 2 2
31, 5 8 5 36 90
plan 16 11 7 73 37
holders 1 0 2 45 96
takeover 2 0 0 121 19
what 26 22 42 41 11
industrial 8 6 61 45 22
QUARTERLY 0 0 0 0 142
signed 16 8 6 106 6
received 8 18 3 86 27
fourth 11 7 4 13 107
-- 18 46 32 25 20
issue 11 9 22 50 48
INDUSTRIES 0 0 0 20 120
possible 15 15 16 69 24
PCT 8 5 9 91 26
23 4 8 3 24 100
raised 18 9 18 52 42
2ND 0 0 0 0 138
mln. 6 11 18 5 98
currently 19 14 10 65 30
world 42 39 26 5 26
give 9 11 25 66 27
our 27 14 19 41 37
Minister 52 16 53 16 0
reserves 37 1 48 16 35
private 15 28 25 52 17
third 20 13 14 29 61
gains 9 3 7 5 113
public 8 6 18 56 48
letter 6 5 1 119 5
European 12 46 39 26 13
barrels 129 0 0 3 4
transaction 2 1 1 122 10
whether 8 29 37 50 11
least 16 28 16 52 23
future 20 8 17 45 45
yen 2 1 106 5 21
preferred 1 1 3 59 71
own 10 5 26 77 16
issued 15 14 12 70 23
19 5 5 5 17 102
exports 42 49 31 2 10
forecast 10 20 59 4 40
these 26 22 36 22 27
reduce 11 22 27 36 36
Petroleum 85 0 0 30 17
used 13 21 17 56 25
firm 9 1 14 84 24
Inc. 10 4 8 68 41
within 23 14 41 33 20
late 14 24 34 39 20
yesterday 25 15 32 49 10
above 33 19 51 12 16
say 24 10 39 39 19
figures 15 28 19 1 68
Japanese 11 9 64 31 16
1985, 14 12 14 17 73
Under 7 25 10 79 9
BUY 2 5 6 117 0
international 28 5 50 27 20
strong 13 12 27 21 57
1987, 10 21 3 25 70
35 10 5 6 40 68
26 8 12 6 14 89
England 0 0 116 8 5
average 35 21 22 21 29
MONEY 0 0 128 0 0
1.5 8 24 27 22 47
60 18 6 2 36 65
undisclosed 1 0 0 122 4
countries 32 29 52 5 8
move 21 9 36 50 10
today. 25 7 49 27 18
very 13 22 39 26 26
low 22 19 52 10 23
markets 9 19 63 21 13
BUYS 0 9 12 104 0
comment 4 8 33 72 8
charge 2 2 0 11 110
given 14 12 26 40 32
later 15 22 15 54 18
shareholder 1 0 0 94 29
dealers 1 6 102 9 6
action 11 20 33 44 16
executive 5 9 6 67 37
according 27 31 18 34 14
system 6 12 74 17 13
ct 2 0 0 3 117
Ltd> 9 0 2 87 24
following 20 18 14 41 29
asked 15 26 23 44 13
decision 13 24 14 49 21
back 18 18 32 30 23
chief 4 2 16 60 39
provide 12 17 10 64 17
One 7 8 27 19 59
cost 21 19 11 26 43
day 80 5 14 15 6
reduced 15 28 9 14 54
offered 8 21 12 74 5
use 20 27 16 38 18
long 12 18 33 33 23
Secretary 27 29 47 15 0
Oil 70 1 0 32 15
SELL 3 2 2 110 1
receive 7 17 1 74 19
Inc> 3 0 0 105 10
stock, 2 1 2 89 24
talks 13 13 17 65 9
STOCK 0 0 1 20 96
Current 6 6 3 1 101
80 11 8 7 49 41
reached 9 15 26 53 12
year's 17 27 4 6 60
news 31 9 18 24 32
directors 0 4 1 83 26
Reuters 24 20 18 35 17
Canadian 15 20 9 47 23
loan 15 21 5 38 35
large 13 26 36 16 22
As 12 9 18 42 32
"I 13 16 38 35 10
real 6 6 31 31 38
quarterly 0 1 3 3 105
deal 7 6 3 87 8
For 5 11 16 25 54
USDA 1 110 0 0 0
state 35 25 12 25 14
September 8 28 23 25 27
WHEAT 0 111 0 0 0
put 16 25 29 26 14
decline 23 14 28 6 39
21 2 3 6 15 84
British 13 11 26 39 21
buying 5 16 33 44 12
distribution 4 3 0 29 74
earned 1 0 7 17 85
must 17 31 36 20 5
available 15 30 5 32 27
payment 3 24 9 32 41
support 17 22 40 22 7
Energy 79 0 0 21 8
31. 0 7 9 11 81
drop 28 15 30 8 27
special 5 13 14 50 26
INTERNATIONAL 0 1 0 42 65
them 17 11 25 43 12
operations. 6 3 4 27 67
Paris 1 4 96 5 1
holding 4 3 10 70 20
effective 23 9 15 20 40
45 2 4 5 29 67
filing 0 0 0 96 11
planned 14 11 5 43 34
raise 28 8 9 35 27
taken 11 19 18 36 23
funds 1 1 62 15 28
Financial 2 1 3 68 33
need 21 22 34 20 10
DLRS 8 5 12 39 42
reflect 5 4 15 5 77
noted 10 14 28 29 25
seeking 2 5 12 76 11
proposal 5 15 5 72 9
Six 0 1 7 1 97
line 16 7 20 30 33
many 14 28 32 17 15
remain 17 13 29 24 23
far 20 14 53 5 14
see 17 13 42 19 15
final 9 18 8 26 45
target 6 21 56 13 9
imports 28 46 24 3 4
ending 3 5 13 20 64
First 1 1 5 64 33
nil 0 5 0 0 99
saying 29 17 22 32 4
Plc 3 0 0 60 41
restructuring 4 0 5 31 64
past 24 15 33 17 14
FIRST 3 2 1 30 67
hold 20 5 31 41 6
SALE 4 1 0 80 18
levels 22 17 38 6 20
AMERICAN 0 1 0 44 58
House 22 31 30 14 5
become 17 9 14 52 10
Finance 8 4 61 19 10
General 9 10 2 49 32
policy 14 18 52 11 7
included 6 10 7 25 54
main 30 16 38 10 8
supply 32 18 36 12 4
provided 4 9 53 25 10
among 15 12 34 31 9
nations 5 4 89 0 3
program 13 49 5 20 14
just 14 15 27 27 18
payments 14 26 22 14 25
quarter. 6 1 1 11 82
demand 39 8 34 4 16
Reserve 9 5 75 11 1
balance 8 10 15 28 39
development 27 8 10 20 35
recently 10 18 18 36 18
equity 4 1 4 46 45
MERGER 0 0 0 100 0
expect 11 12 35 12 30
senior 12 11 26 40 10
disclosed. 0 0 0 96 3
RAISES 23 2 1 16 57
provision 1 12 4 14 68
banking 0 0 36 36 26
OFFER 1 10 0 86 1
think 16 14 32 29 7
owns 4 1 0 82 11
33 7 0 4 22 65
29 0 2 1 18 77
even 17 18 26 19 17
without 11 12 15 33 26
corn 1 91 0 5 0
where 22 15 21 30 9
COMPLETES 2 0 0 95 0
response 11 9 19 47 11
worth 3 10 26 52 6
Last 7 11 8 39 31
days 20 17 23 27 9
selling 12 6 27 38 13
ACQUISITION 0 0 0 96 0
purchased 4 7 24 54 7
led 8 8 11 63 6
members 24 17 13 39 2
Union 14 44 5 23 9
today, 12 12 32 32 7
States 27 22 27 13 6
analyst 16 9 4 39 27
open 16 8 19 34 18
federal 13 12 11 47 11
BID 0 7 0 86 1
small 16 9 22 25 22
called 27 12 13 35 7
general 12 13 13 29 27
show 14 12 22 11 35
related 8 1 3 34 48
pretax 0 0 0 22 72
51 1 1 10 32 50
good 9 24 9 13 38
Canada 17 12 22 28 14
North 23 12 1 29 28
effect 11 11 16 14 41
LTD 0 0 0 2 91
initial 7 4 7 18 57
how 11 21 22 19 19
allow 13 17 11 37 14
Systems 0 0 0 66 26
come 16 9 32 18 17
better 14 11 15 21 31
President 35 5 23 17 12
conference 23 6 21 15 26
investor 2 0 3 81 5
30, 0 21 3 25 42
present 20 14 19 25 13
gave 16 15 17 28 14
Association 13 24 7 37 9
agreement, 4 16 14 53 3
seek 3 5 3 66 13
estimate 6 22 41 6 15
regulatory 2 3 2 65 18
rights 9 0 0 63 18
joint 7 6 15 42 19
I 18 10 22 29 10
market. 13 14 27 24 11
Pacific 18 6 0 47 18
James 6 1 42 29 11
near 28 13 20 14 14
Company 7 2 0 7 73
Holdings 0 0 0 73 15
return 15 6 12 14 41
Treasury 5 2 78 3 0
intervention 1 17 69 1 0
output 52 24 3 4 5
decided 11 17 6 42 12
Co, 6 2 3 60 17
Jan 3 1 0 16 68
SELLS 1 0 2 84 1
French 4 28 17 30 9
meet 22 19 19 22 6
start 13 12 22 16 24
Terms 0 0 0 85 2
closed 16 1 18 41 11
An 11 28 8 32 8
1 5 17 4 6 55
right 7 5 11 51 13
then 13 18 24 23 9
go 15 17 13 29 13
impact 10 17 17 14 29
probably 17 22 14 20 13
however, 10 12 12 24 28
INC> 0 0 0 20 66
quoted 25 7 23 22 9
principle 2 0 2 76 6
July 5 19 3 12 47
scheduled 10 17 6 41 12
If 9 17 14 35 11
Corp> 8 0 1 62 14
remaining 8 6 2 49 20
Resources 15 0 2 48 20
billion. 4 1 15 1 64
commercial 10 11 28 21 15
And 10 7 41 16 11
sharp 16 10 32 0 26
adjusted 0 3 5 0 76
adding 18 10 18 16 22
outstanding. 0 0 1 69 14
70 11 8 2 20 43
services 4 0 5 51 24
way 20 16 24 21 2
position 10 8 11 37 17
marks 0 0 36 7 40
intent 0 0 1 81 1
World 10 11 11 39 12
Commission, 1 2 0 75 5
revised 4 4 55 11 9
Chairman 3 5 12 39 24
150 8 3 35 19 18
conditions 10 8 15 41 8
financing 2 1 12 51 16
DEC 0 0 0 0 82
credits 3 0 2 1 76
week, 13 19 25 21 4
Corp. 2 1 7 46 26
order 8 6 16 29 23
periods 1 3 1 0 77
form 4 13 9 32 24
prices, 40 21 10 2 9
offering 1 6 6 43 26
On 9 4 19 33 17
currencies 1 2 73 0 5
data 9 2 11 19 40
leading 8 7 36 19 11
began 9 10 21 28 13
improved 5 11 3 8 54
shortage 0 4 75 1 1
200 5 6 19 30 21
investors 2 1 24 47 6
account 5 9 34 10 22
product 15 8 9 19 29
34 3 2 1 15 59
South 17 18 11 21 13
stg. 1 1 56 15 7
changed 14 3 25 7 31
holds 2 1 6 65 6
significant 11 10 8 19 32
traders 17 25 19 8 11
Soviet 9 67 2 2 0
taking 5 11 23 33 7
continuing 6 3 10 23 37
STG 0 0 64 11 4
purchases 4 29 19 22 5
bills 0 2 77 0 0
SPLIT 0 0 0 1 78
Feb 4 1 0 26 48
offer, 0 7 0 66 6
consider 4 12 11 44 8
years. 12 19 6 21 20
changes 9 21 23 14 11
offset 9 8 19 4 38
continued 12 14 12 7 33
believe 16 7 18 26 11
Prior 0 1 0 2 75
1986/87 3 56 5 1 13
AT 13 19 32 9 5
although 16 9 16 11 26
statement. 10 5 1 41 20
get 14 21 6 28 8
interests 7 1 1 50 18
reduction 12 17 11 3 34
NEW 5 11 19 20 22
Ministry 18 18 26 13 2
Gulf 38 17 6 6 10
definitive 0 0 0 73 3
little 7 12 33 11 13
addition, 3 9 16 24 24
Board 3 22 25 23 3
Trust 4 0 10 29 33
FROM 8 11 2 25 30
yet 16 11 9 30 10
closing 2 0 4 48 21
AG 1 0 4 22 48
loans 4 7 16 18 30
estimates 16 22 3 7 27
vice 9 7 5 37 17
caused 13 22 10 9 21
offer. 1 3 1 68 2
contract 33 12 7 10 13
committee 12 19 20 23 1
65 6 5 4 27 33
firms 9 2 12 43 9
existing 13 6 3 33 19
CTS 5 0 0 2 67
VS 0 2 0 0 72
fully 5 2 9 42 16
LTD> 0 0 0 0 74
point 9 8 36 11 10
review 9 8 11 37 9
combined 2 8 0 50 14
37 9 3 4 11 47
finance 7 1 24 21 21
Corp's 6 0 0 58 10
JAPAN 4 5 49 12 4
90 1 12 6 20 35
energy 48 2 1 9 14
option 6 10 2 48 7
despite 12 8 19 7 27
42 1 1 2 15 54
don't 7 14 26 20 6
Trade 1 23 33 15 1
HAS 1 1 5 52 14
Ltd, 7 0 3 52 11
REGULAR 0 0 0 0 73
mln, 14 12 4 2 41
repurchase 0 0 51 12 10
increasing 13 11 9 15 25
38 4 0 2 16 51
cents 5 15 7 6 40
dollars 3 0 54 6 9
surplus 7 12 37 0 16
German 1 4 38 15 14
service 7 1 10 33 21
country 25 20 14 7 6
basis 4 9 12 21 26
4th 0 0 0 0 72
here 16 9 38 5 4
52 3 1 1 21 45
too 6 19 21 18 7
bill 3 25 35 6 2
2.5 7 8 21 13 22
weeks 15 14 17 15 10
1, 8 17 9 8 29
55 2 1 1 13 54
two-for-one 0 0 0 2 69
filed 0 1 0 56 14
Texas 38 5 0 19 8
Savings 0 0 1 42 27
32 5 1 3 7 54
SYSTEMS 0 0 0 22 48
pressure 10 6 34 8 12
dollar, 4 0 56 2 8
500 9 7 14 27 13
PROFIT 0 0 0 0 70
There 11 22 15 14 8
date 2 10 4 32 22
majority 5 3 1 50 11
GRAIN 0 70 0 0 0
BY 13 17 6 15 19
pre-tax 0 1 0 13 56
quarter, 7 1 2 7 53
market, 13 14 19 17 7
UP 19 3 9 12 27
measures 12 10 34 4 10
crop 0 70 0 0 0
natural 42 1 4 10 13
substantial 3 6 17 16 27
subsidiary, 4 0 0 40 25
Japan, 0 7 49 10 3
tonnes, 3 64 0 0 2
national 20 10 15 18 6
required 3 6 12 35 13
latest 16 16 21 8 8
division 0 0 1 47 21
ago 5 15 9 15 24
agency 31 16 6 12 3
former 1 2 10 44 11
performance 1 2 18 6 41
few 13 11 19 15 10
turnover 0 0 1 24 43
greater 6 10 25 12 14
deficit 6 4 48 4 5
business. 1 0 3 39 24
diluted 0 0 0 20 47
department 8 41 2 10 6
dollar. 0 0 58 0 9
again 13 8 19 15 12
"It 9 9 19 20 10
RESOURCES 3 0 0 19 45
area 19 20 2 14 12
At 6 9 12 23 17
HIGHER 1 4 2 2 58
necessary 7 3 22 20 15
entered 2 3 13 42 7
range 4 7 20 16 20
hit 21 9 16 3 18
plant 7 14 0 20 26
36 6 4 1 5 51
Germany 0 6 50 7 3
farmers 4 62 0 0 0
import 30 25 9 2 0
Capital 1 0 2 51 12
reporters 21 5 22 10 8
assistance 7 4 54 1 0
accord 11 5 45 5 0
fixed 15 2 32 6 11
respectively. 8 4 17 4 33
formed 2 1 4 49 10
rejected 7 10 5 43 1
member 22 11 11 15 6
marketing 10 24 0 15 16
complete 2 6 2 45 10
budget 14 9 36 4 2
slightly 15 8 14 6 22
acquisitions 4 0 0 32 29
cash. 0 2 0 61 2
EC 0 50 9 4 2
considering 4 10 3 43 5
areas 13 35 0 8 9
francs 0 3 11 9 42
makes 5 3 5 45 7
growing 12 15 15 12 11
able 11 10 8 20 16
going 8 8 10 26 13
prices. 26 13 2 10 14
OPEC 64 0 1 0 0
Turnover 0 0 0 0 64
expand 2 9 8 28 17
mainly 8 4 9 8 35
units 4 6 2 32 20
43 1 1 0 6 56
week. 10 16 16 19 3
completion 2 0 0 48 14
75 4 8 4 19 29
WITH 4 2 6 50 2
boost 21 4 20 12 7
Dealers 0 1 62 1 0
limited 7 8 7 25 17
unchanged 7 10 19 5 22
1.2 11 4 6 18 24
Reagan 19 27 12 5 0
expenses 0 0 0 18 45
valued 1 6 2 50 4
key 5 8 24 15 11
QTLY 0 0 0 0 63
terms. 0 1 2 58 2
figure 10 13 6 5 29
situation 9 19 19 11 5
transactions 2 3 35 20 3
remains 9 4 16 14 20
economy 12 2 34 2 13
corporate 4 0 7 26 26
director 10 7 8 29 9
food 1 16 3 23 20
rising 12 8 22 4 17
CORN 0 63 0 0 0
enough 6 13 24 12 8
needed 8 10 24 14 6
improve 4 7 7 16 28
bank's 1 0 26 9 26
exploration 47 0 0 8 7
Central 3 2 36 13 8
farm 2 54 0 5 1
increases 9 13 9 7 24
nearly 9 13 11 12 17
work 12 9 11 15 15
details 8 6 2 38 8
ago. 8 13 3 5 33
charges 2 0 1 8 51
insurance 5 1 7 20 29
took 5 9 19 19 10
lost 14 3 6 11 28
Some 8 18 17 14 5
barrel 54 0 3 3 2
years, 8 18 5 10 21
convertible 2 0 2 45 13
want 6 15 17 21 3
bpd 61 0 0 0 1
Asked 14 8 27 7 5
cover 5 31 3 3 19
rather 10 14 20 4 13
longer 9 4 17 13 18
Full 0 0 0 3 58
Share 0 0 1 3 57
showed 9 4 21 7 20
Western 9 7 10 25 10
add 5 2 30 12 12
IT 7 0 7 41 6
term 4 4 17 13 23
FINANCIAL 0 0 1 22 38
49 1 2 2 18 38
authorized 0 9 3 16 33
Analysts 8 2 7 32 12
started 5 7 12 23 14
unless 8 6 10 33 4
SHR 0 0 0 0 60
FED 0 0 56 4 0
Canada, 5 6 31 8 10
shareholders. 0 0 0 48 12
dropped 20 4 16 4 16
proceeds 1 0 1 36 22
officer 0 5 0 38 17
similar 12 10 11 9 18
seen 15 12 19 5 9
DOLLAR 0 0 55 0 5
believes 7 3 6 27 17
attempt 6 1 13 32 8
potential 8 4 9 28 11
produce 18 15 4 10 13
various 5 8 8 28 11
Reuters. 12 20 4 18 6
heavy 12 19 10 9 9
FIRM 5 1 2 51 0
press 13 6 12 18 10
soon 10 8 9 22 10
CANADA 13 12 1 16 17
accounting 1 1 3 8 46
information 2 4 2 40 11
restated 0 0 1 0 58
place 11 8 7 18 15
1.4 7 7 4 11 30
problems 7 12 15 8 17
liquidity 3 0 48 1 7
concern 11 7 10 22 9
businesses 2 1 1 37 18
300 9 3 24 11 12
Insurance 0 0 0 40 19
morning 3 6 34 12 4
months. 9 4 13 13 19
working 12 9 7 20 10
outside 13 8 9 18 10
bring 8 9 16 16 9
equipment 4 0 2 37 15
voting 0 0 0 48 10
